Date,refloc,IndexSeries,IndexSymbol,CreditVix_pc,CreditVix_bp,NearTerm,NextTerm,Percentage_Near,BasisPoint_Near,D1,Percentage_Next,BasisPoint_Next,D2,sigma1sq_pc,sigma2sq_pc,sigma1sq_bp,sigma2sq_bp,T1,T2,IndexVersion
2018-09-07,N1730,30,VIXHY,32.9107768,124.2263843,2018-09-19,2018-10-17,33.65747571,121.7542412,12,32.78467359,124.6336409,40,0.113282567,0.107483482,1.482409524,1.553354445,0.032876712,0.109589041,
2018-09-07,L1730,29,VIXIE,46.15582115,34.18045621,2018-09-19,2018-10-17,44.54988806,31.19736496,12,46.41807525,34.65268033,40,0.198469253,0.215463771,0.097327558,0.120080825,0.032876712,0.109589041,
2018-09-07,N1730,30,VIXIG,43.09165106,30.24820687,2018-09-19,2018-10-17,45.61001085,30.14887671,12,42.65747228,30.2647302,40,0.208027309,0.181965994,0.090895477,0.091595389,0.032876712,0.109589041,
2018-09-07,L1730,29,VIXXO,37.39446661,120.4136946,2018-09-19,2018-10-17,37.17317331,114.2909662,12,37.43122163,121.4041323,40,0.138184481,0.140109635,1.306242496,1.473896333,0.032876712,0.109589041,
2018-09-10,L1730,29,VIXFS,56.47265486,43.71195315,2018-09-19,2018-10-17,58.95777711,44.13443064,9,56.26634812,43.67751912,37,0.347601948,0.316590193,0.194784797,0.190772568,0.024657534,0.101369863,
2018-09-10,N1730,30,VIXHY,32.02466279,119.3131009,2018-09-19,2018-10-17,32.87132516,117.4604399,9,31.95503134,119.4620574,37,0.108052402,0.102112403,1.379695494,1.427118316,0.024657534,0.101369863,
2018-09-10,L1730,29,VIXIE,44.59796945,31.65747076,2018-09-19,2018-10-17,46.81731446,31.72452731,9,44.41316227,31.65202751,37,0.219186093,0.197252898,0.100644563,0.100185085,0.024657534,0.101369863,
2018-09-10,N1730,30,VIXIG,41.35416411,28.01729054,2018-09-19,2018-10-17,44.81851743,28.25647853,9,41.06046203,27.99780736,37,0.20086995,0.168596154,0.079842858,0.078387722,0.024657534,0.101369863,
2018-09-10,L1730,29,VIXXO,36.27938615,113.9388598,2018-09-19,2018-10-17,35.59832321,107.3974328,9,36.33404796,114.4528612,37,0.126724062,0.132016304,1.153420858,1.309945743,0.024657534,0.101369863,
2018-09-11,L1730,29,VIXFS,53.89866213,39.23288469,2018-09-19,2018-10-17,56.73861979,40.28771737,8,53.72171852,39.16804244,36,0.321927098,0.288602304,0.162310017,0.153413555,0.021917808,0.098630137,
2018-09-11,N1730,30,VIXHY,32.35376958,120.6660718,2018-09-19,2018-10-17,34.11778042,121.2223466,8,32.2437583,120.6322757,36,0.116402294,0.103965995,1.469485731,1.455214594,0.021917808,0.098630137,
2018-09-11,L1730,29,VIXIE,45.28375589,31.97904521,2018-09-19,2018-10-17,48.93577567,32.45434775,8,45.05290792,31.95001174,36,0.239471014,0.202976451,0.105328469,0.102080325,0.021917808,0.098630137,
2018-09-11,N1730,30,VIXIG,42.40968004,29.02708916,2018-09-19,2018-10-17,46.02779428,29.65546475,8,42.18042701,28.98856802,36,0.211855785,0.177918842,0.087944659,0.084033708,0.021917808,0.098630137,
2018-09-11,L1730,29,VIXXO,36.58390077,115.1378241,2018-09-19,2018-10-17,37.0484953,112.2639151,8,36.55555376,115.3096984,36,0.1372591,0.133630851,1.260318664,1.329632654,0.021917808,0.098630137,
2018-09-12,L1730,29,VIXFS,54.86701043,41.11892076,2018-09-19,2018-10-17,59.76442296,43.25423191,7,54.64412365,41.02355998,35,0.357178625,0.298598025,0.187092858,0.168293247,0.019178082,0.095890411,
2018-09-12,N1730,30,VIXHY,32.10324701,118.8920591,2018-09-19,2018-10-17,33.19482132,117.9474459,7,32.05494406,118.9329591,35,0.110189616,0.102751944,1.391159999,1.414504875,0.019178082,0.095890411,
2018-09-12,L1730,29,VIXIE,45.51992157,32.5118561,2018-09-19,2018-10-17,48.96602555,32.62889822,7,45.36415295,32.50675776,35,0.239767166,0.205790637,0.1064645,0.10566893,0.019178082,0.095890411,
2018-09-12,N1730,30,VIXIG,43.36044444,29.33500893,2018-09-19,2018-10-17,47.9702889,30.74183119,7,43.14884592,29.27230906,35,0.230114862,0.18618229,0.094506018,0.085686808,0.019178082,0.095890411,
2018-09-12,L1730,29,VIXXO,37.45414933,117.5445376,2018-09-19,2018-10-17,39.33198863,118.4042193,7,37.3703637,117.5070175,35,0.154700533,0.139654408,1.401955915,1.380789916,0.019178082,0.095890411,
2018-09-13,L1730,29,VIXFS,55.33899276,40.6884127,2018-10-17,2018-11-21,55.29791419,41.04483785,34,55.14135736,42.37341339,69,0.305785931,0.304056929,0.168467871,0.179550616,0.093150685,0.189041096,
2018-09-13,N1730,30,VIXHY,29.39598481,106.55073,2018-10-17,2018-11-21,30.03022382,110.2098692,34,32.32958101,123.1408184,69,0.090181434,0.104520181,1.214621527,1.516366115,0.093150685,0.189041096,
2018-09-13,L1730,29,VIXIE,45.02635122,31.15884486,2018-10-17,2018-11-21,45.2919419,31.66089137,34,46.28841695,33.50216704,69,0.205136,0.214261754,0.100241204,0.11223952,0.093150685,0.189041096,
2018-09-13,N1730,30,VIXIG,40.23955264,26.53207428,2018-10-17,2018-11-21,40.84471496,27.25759509,34,43.06932584,29.8570454,69,0.166829074,0.185496683,0.074297649,0.089144316,0.093150685,0.189041096,
2018-09-13,L1730,29,VIXXO,37.15242185,114.0520021,2018-10-17,2018-11-21,37.27094035,115.7102004,34,37.71842278,121.812454,69,0.138912299,0.142267942,1.338885048,1.483827394,0.093150685,0.189041096,
2018-09-14,L1730,29,VIXFS,55.60846019,40.61906619,2018-10-17,2018-11-21,55.24529868,40.6448492,33,53.33698217,40.77729802,68,0.305204303,0.284483367,0.165200377,0.166278803,0.090410959,0.18630137,
2018-09-14,N1730,30,VIXHY,29.09559925,104.0764502,2018-10-17,2018-11-21,29.59232337,106.8405093,33,32.02735009,120.0648264,68,0.08757056,0.102575115,1.141489443,1.441556254,0.090410959,0.18630137,
2018-09-14,L1730,29,VIXIE,44.70767459,30.38812921,2018-10-17,2018-11-21,44.81801949,30.70353872,33,45.38172695,32.27824987,68,0.200865487,0.205950114,0.094270729,0.104188541,0.090410959,0.18630137,
2018-09-14,N1730,30,VIXIG,41.59892547,27.49029434,2018-10-17,2018-11-21,41.88565257,27.87422131,33,43.33144975,29.77209664,68,0.175440789,0.187761454,0.077697221,0.088637774,0.090410959,0.18630137,
2018-09-14,L1730,29,VIXXO,37.40742377,115.7631955,2018-10-17,2018-11-21,37.4659894,116.8614,33,37.76599344,122.3580918,68,0.140370036,0.142627026,1.36565868,1.497150263,0.090410959,0.18630137,
2018-09-17,L1730,29,VIXFS,54.7037928,41.68439669,2018-10-17,2018-11-21,54.7037928,41.68439669,30,55.09944068,43.62846157,65,0.299250495,0.303594836,0.173758893,0.190344266,0.082191781,0.178082192,
2018-09-17,N1730,30,VIXHY,31.23109715,113.5761438,2018-10-17,2018-11-21,31.23109715,113.5761438,30,32.83102848,124.2879278,65,0.097538143,0.107787643,1.289954044,1.544748899,0.082191781,0.178082192,
2018-09-17,L1730,29,VIXIE,45.68404954,31.54378372,2018-10-17,2018-11-21,45.68404954,31.54378372,30,45.62446802,32.68271004,65,0.208703238,0.208159208,0.099501029,0.106815954,0.082191781,0.178082192,
2018-09-17,N1730,30,VIXIG,41.84971116,27.70030683,2018-10-17,2018-11-21,41.84971116,27.70030683,30,42.76050713,29.52365092,65,0.175139832,0.182846097,0.0767307,0.087164596,0.082191781,0.178082192,
2018-09-17,L1730,29,VIXXO,38.37645661,118.4571702,2018-10-17,2018-11-21,38.37645661,118.4571702,30,38.08274303,122.7302753,65,0.147275242,0.145029532,1.403210117,1.506272048,0.082191781,0.178082192,
