ticker,IBOXUMAE CBBT Curncy,ITRXESE CBBT Curncy,IHYG EU Equity,ERIXITSE Index,ERIXCDIG Index,IBOXHYSE CBBT Curncy,VIX Index,ERINCDHY Index,V2X Index,ITRXEBE CBBT Curncy,ERIXITEU Index,ITRXEXE CBBT Curncy,ERIXITXO Index,SPX Index,SX5E Index,TYVIX Index,IEF Equity,AGG Equity,HYG Equity,LQD Equity,TY1 Comdty,SPJGBV Index,JB1 Comdty,SRVIX Index,USFS0110 CMPN Curncy,SPX Index,SX5E Index,IEF Equity,AGG Equity,HYG Equity,LQD Equity,IHYG EU Equity,TY1 Comdty,JB1 Comdty
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,YLD_CNV_LAST,YLD_CNV_LAST
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-23,,,,,,,44.92,,58.96,,,,,797.7,2458.56,,,,,,110.484375,,139.25,,5.4487,1207.9309,2732.9817,,,,,,4.675,1.49
2002-07-24,,,,,,,39.86,,62.73,,,,,843.42,2438.31,,,,,,110.671875,,139.1,,5.5685,1277.1861,2710.4714,,,,,,4.6530000000000005,1.502
2002-07-25,,,,,,,39.27,,59.25,,,,,838.68,2515.2,,,,,,110.84375,,139.16,,5.5163,1270.0142,2795.9438,,,,,,4.633,1.4969999999999999
2002-07-26,,,,,,,35.51,,56.41,,,,,852.84,2536.93,,82.79,,,102.15,111.046875,,139.0,,5.5617,1291.466,2820.0992,82.79,,,102.15,,4.609,1.51
2002-07-29,,,,,,,31.33,,46.99,,,,,898.96,2723.01,,81.82,,,101.35,109.9375,,138.85,,5.7425,1361.4383,3026.9493,81.82,,,101.35,,4.741,1.5230000000000001
2002-07-30,,,,,,,31.92,,46.37,,,,,902.78,2691.91,,81.77,,,101.37,109.734375,,138.99,,5.7669,1367.3079,2992.3779,81.77,,,101.37,,4.765,1.5110000000000001
2002-07-31,,,,,,,32.03,,48.71,,,,,911.62,2685.79,,82.52,,,101.99,110.609375,,139.35,,5.5912,1380.8694,2985.5748,82.52,,,101.99,,4.661,1.4809999999999999
2002-08-01,,,,,,,36.95,,50.97,,,,,884.66,2557.86,,82.86,,,102.99,111.046875,,139.36,,5.5377,1340.2599,2844.2265,82.86,,,102.99,,4.609,1.4809999999999999
2002-08-02,,,,,,,41.29,,52.88,,,,,864.24,2547.12,,83.5,,,103.2,112.140625,,139.6,,5.434,1309.3318,2835.8046,83.5,,,103.2,,4.48,1.461
2002-08-05,,,,,,,45.08,,55.65,,,,,834.6,2447.32,,83.92,,,102.95,112.390625,,139.93,,5.3415,1264.4711,2724.6935,83.92,,,102.95,,4.451,1.434
2002-08-06,,,,,,,42.03,,54.03,,,,,859.57,2592.24,,83.24,,,102.6,111.375,,139.8,,5.4786,1302.3083,2886.0383,83.24,,,102.6,,4.57,1.444
2002-08-07,,,,,,,38.73,,56.1,,,,,876.77,2564.77,,83.5,,,102.89,112.078125,,140.0,,5.4389,1328.5766,2855.455,83.5,,,102.89,,4.4879999999999995,1.428
2002-08-08,,,,,,,36.33,,51.14,,,,,905.46,2698.18,,83.21,,,102.59,111.453125,,139.96,,5.4767,1372.0883,3003.9853,83.21,,,102.59,,4.561,1.431
2002-08-09,,,,,,,35.33,,50.02,,,,,908.64,2750.16,,83.83,,,103.0,112.46875,,140.16,,5.3224,1377.2257,3063.2882,83.83,,,103.0,,4.442,1.415
2002-08-12,,,,,,,37.05,,51.98,,,,,903.8,2670.78,,84.0,,,103.14,112.6875,,140.25,,5.2582,1369.9234,2975.6518,84.0,,,103.14,,4.417,1.408
2002-08-13,,,,,,,35.82,,51.51,,,,,884.21,2698.99,,84.67,,,103.99,113.3125,,140.05,,5.1066,1340.3816,3007.082,84.67,,,103.99,,4.345,1.424
2002-08-14,,,,,,,32.36,,51.56,,,,,919.62,2590.75,,84.42,,,104.03,113.234375,,140.4,,5.15,1394.3612,2886.4864,84.42,,,104.03,,4.354,1.396
2002-08-15,,,,,,,29.43,,48.24,,,,,930.25,2677.74,,83.93,,,103.72,112.53125,,140.38,,5.2206,1410.6338,2983.4063,83.93,,,103.72,,4.435,1.397
2002-08-16,,,,,,,28.81,,43.81,,,,,928.77,2713.96,,83.38,,,103.22,111.515625,,140.3,,5.4098,1408.5557,3023.7609,83.38,,,103.22,,4.554,1.404
2002-08-19,,,,,,,28.61,,38.2,,,,,950.72,2825.39,,83.46,,,103.8,111.703125,,140.43,,5.3694,1441.8611,3147.9107,83.46,,,103.8,,4.532,1.393
2002-08-20,,,,,,,29.59,,39.93,,,,,937.43,2771.4,,84.23,,,104.91,112.734375,,140.33,,5.1865,1421.7109,3087.7577,84.23,,,104.91,,4.411,1.401
2002-08-21,,,,,,,28.23,,38.46,,,,,949.36,2802.95,,84.02,,,105.05,112.609375,,140.46,,5.2279,1439.9287,3122.9092,84.02,,,105.05,,4.426,1.391
2002-08-22,,,,,,,27.75,,39.15,,,,,962.7,2872.02,,83.57,,,104.9,111.984375,,140.54,,5.3586,1460.2044,3199.8636,83.57,,,104.9,,4.499,1.384
2002-08-23,,,,,,,29.32,,39.2,,,,,940.86,2821.04,,83.95,,,105.2,112.5,,140.7,,5.2409,1427.111,3143.0642,83.95,,,105.2,,4.439,1.371
2002-08-26,,,,,,,29.89,,39.47,,,,,947.95,2771.19,,83.99,,,105.31,112.71875,,140.75,,5.2167,1437.8652,3089.3728,83.99,,,105.31,,4.413,1.367
2002-08-27,,,,,,,30.11,,38.53,,,,,934.82,2863.6,,83.74,,,105.05,112.1875,,140.95,,5.2941,1417.9611,3192.3932,83.74,,,105.05,,4.475,1.351
2002-08-28,,,,,,,33.32,,43.59,,,,,917.87,2729.93,,84.05,,,105.25,112.578125,,140.87,,5.2128,1392.4861,3043.3754,84.05,,,105.25,,4.429,1.357
