Date,VIXIG Percent,VIXIG Basis Point,VIXHY Percent,VIXHY Basis Point,VIXIE Percent,VIXIE Basis Point,VIXXO Percent,VIXXO Basis Point,VIXFS Percent,VIXFS Basis Point
2018-11-23,69.55182984,65.21159681,48.48343136,219.99686269999998,57.79423915,51.71877367,51.37074418,188.20116059999998,71.21966333,78.28595178
2018-11-26,62.97009646,55.389771100000004,45.90822463,204.6918799,60.72394257,54.70351796,50.9314672,183.4231918,71.23765246,73.42955894
2018-11-27,59.82303613,51.67873507,44.61697547,197.8879797,58.02485485,52.10945484,52.14643585,196.32512119999998,70.10779493,74.31654843
2018-11-28,49.87283492,41.63138761,39.08967874,164.6802618,58.63824629,52.53737427,49.77154053,184.32944540000003,68.95605334,75.43019279
2018-11-29,48.07275759,40.30706738,38.83012342,164.2648224,55.28438987,48.63124334,49.92897339,186.9258322,68.5967885,73.75120516
2018-11-30,50.18045083,42.26621707,41.22672722,176.8155118,56.47312354,50.62115451,51.56685537,190.0602756,68.6236278,74.07127221
2018-12-03,49.09088338,41.28021439,39.88491342,169.20661,54.46325689,47.77418359,48.50848135,172.2650103,68.97839238,73.40297428
2018-12-04,54.205185300000004,48.72069988,45.38364513,201.54542,57.32193735,52.11967529,49.77694093,184.90082030000002,67.07488034,74.88676914
2018-12-06,54.71164355,49.00993048,44.98499975,202.2173666,59.22726763,56.80988968,54.09862087,211.68677340000002,67.16816706,76.78279969
2018-12-07,56.1700848,52.49072595,46.78516132,214.21777369999998,59.85217098,56.03957773,50.14105275,191.8123644,69.98085268,78.02456571
2018-12-10,57.72791713,53.52222469,48.81523628,225.1459477,60.19856415,57.90919941,53.16942455,206.8924345,74.28177765,84.39893993
2018-12-11,54.34884569,47.57901637,46.1834162,208.5891136,59.04973904,54.22131814,50.2251815,191.6479444,67.1818579,75.78897544
2018-12-12,53.01754692,45.7238402,46.06449093,203.4240036,58.24745401,50.20770234,52.74588029,189.4611966,67.25599862,72.04377891
2018-12-13,51.989889500000004,43.50136443,45.07798589,192.6487032,54.5405485,45.54040842,46.98251131,165.04114019999997,64.88495875,68.88615273
2018-12-14,53.58143641,47.29695027,46.44197979,205.35547309999998,55.6751313,47.75791138,49.9813786,181.9813983,65.12983238,70.40111803
2018-12-17,54.76597919,48.89067302,48.11020762,218.4196833,55.023951399999994,48.6170847,44.65126482,169.5404285,65.07678491,71.29023021
2018-12-18,55.37592605,49.39798233,47.82498406,216.81031000000002,54.85663899,48.45169495,44.95786976,169.6681515,64.67429654,71.01598843
2018-12-19,58.408816099999996,55.03186032,51.16141661,241.8828142,53.87154216,47.61178235,50.94448751,188.47275109999998,65.13344411,70.40877568
2018-12-20,60.38416554,58.38223136,52.64707483,257.17685159999996,56.04461284,52.41557121,50.99807396,194.75841819999997,64.56639841,72.64238216
2018-12-21,61.52278955,60.88771976,52.28023325,258.62331659999995,58.32456932,56.99600305,52.72109372,205.0814177,65.62704137,75.58671052
2018-12-24,64.32144329,65.03096964,52.14171067,265.24229449999996,60.25605338,60.73436277,52.43796415,209.3869356,64.59027359,76.09221132
2018-12-26,62.09723848,59.85826243,52.24465027,249.5056332,60.26501552,60.87492687,51.79770147,207.90651619999997,64.42362302,75.92960221
2018-12-27,63.27653243,61.24711621,52.67050457,252.7243134,60.09651688,59.76204065,55.09715998,226.36838250000002,64.035187,76.02826529999999
2018-12-28,60.38527987,57.83453213,51.69012684,246.5239355,59.89149917,58.24465107,53.32843962,214.159487,68.06389351,78.70919588
2018-12-31,61.07294483,58.04225938,51.92308659,246.43745750000002,58.049868999999994,56.47329891,49.34809375,197.465483,66.74639325,76.14431402
2019-01-02,58.95477984,55.86354833,49.1774994,236.5396352,58.51006632,57.21220038,54.43133421,217.24539109999998,66.38894089,76.87760979
2019-01-03,58.67401493,56.49072963,48.92974932,238.07649359999996,58.33954371,59.20591589,53.05169203,218.559302,63.89032208,76.87409573
2019-01-04,54.31371933,49.05484764,45.44850434,206.7492458,56.36747065,54.48379565,53.77253408,211.9210508,65.34014377,76.10992162
2019-01-07,52.17103645,45.6776,43.06122705,191.1338829,55.34554016,52.74961293,51.4793758,198.7477283,63.80941198,74.04011906
