Date,refloc,IndexSeries,IndexSymbol,CreditVix_pc,CreditVix_bp,NearTerm,NextTerm,Percentage_Near,BasisPoint_Near,D1,Percentage_Next,BasisPoint_Next,D2,sigma1sq_pc,sigma2sq_pc,sigma1sq_bp,sigma2sq_bp,T1,T2,IndexVersion
2018-08-28,L1730,29,VIXIE,45.61034221,33.457607199,2018-09-19,2018-10-17,44.871285735,32.011320311,22,46.409712916,34.979522811,50,0.2013432283,0.2153861453,0.1024724628,0.1223567016,0.0602739726,0.1369863014,
2018-08-28,L1730,29,VIXIG,41.649128769,24.616808264,2018-09-19,2018-10-17,41.750983942,24.031560166,22,41.5367996,25.244915344,50,0.174314466,0.1725305721,0.0577515884,0.0637305751,0.0602739726,0.1369863014,
2018-08-28,L1730,29,VIXXO,35.234112052,110.28316298,2018-09-19,2018-10-17,34.22660526,104.60422217,22,36.310095166,116.20990515,50,0.1171460508,0.1318423011,1.0942043295,1.3504742054,0.0602739726,0.1369863014,
2018-08-28,L1730,30,VIXHY,31.090974784,114.06407549,2018-09-19,2018-10-17,30.689875938,110.19593799,22,31.52629004,118.17287651,50,0.0941868485,0.0993906964,1.2143144749,1.3964828742,0.0602739726,0.1369863014,
2018-08-28,L1730,30,VIXIG,41.375373396,28.301271435,2018-09-19,2018-10-17,41.381798812,27.639245314,22,41.368304285,29.012057088,50,0.1712453273,0.1711336599,0.0763927882,0.0841699456,0.0602739726,0.1369863014,
2018-08-28,N1730,29,VIXHY,31.646056804,109.08512882,2018-09-19,2018-10-17,31.351375651,105.9338286,22,31.967068725,112.44960446,50,0.0982908755,0.1021893483,1.1221976042,1.2644913544,0.0602739726,0.1369863014,
2018-08-28,N1730,29,VIXIG,41.66881134,24.603150055,2018-09-19,2018-10-17,41.770574258,24.02521361,22,41.556584311,25.22359028,50,0.1744780874,0.17269497,0.0577210889,0.0636229507,0.0602739726,0.1369863014,
2018-08-28,N1730,30,VIXHY,31.350637097,115.60654764,2018-09-19,2018-10-17,31.073276019,112.3350761,22,31.652927298,119.10142252,50,0.0965548483,0.1001907807,1.2619169322,1.4185148845,0.0602739726,0.1369863014,
2018-08-28,N1730,30,VIXIG,41.388704932,28.285242848,2018-09-19,2018-10-17,41.396764093,27.631159675,22,41.379838043,28.987692885,50,0.1713692077,0.1712290996,0.0763480985,0.0840286339,0.0602739726,0.1369863014,
2018-08-29,L1730,28,VIXFS,57.476299138,47.544315499,2018-09-19,2018-10-17,56.364429455,45.780206903,21,58.464058661,49.085813057,49,0.3176948908,0.3418046155,0.2095827344,0.2409417043,0.0575342466,0.1342465753,
2018-08-29,L1730,28,VIXIE,47.859805793,30.774988731,2018-09-19,2018-10-17,47.282964915,29.414625173,21,48.375782888,31.955932415,49,0.2235678771,0.234021637,0.0865220174,0.1021181617,0.0575342466,0.1342465753,
2018-08-29,L1730,28,VIXXO,36.98538608,104.42301851,2018-09-19,2018-10-17,35.616064732,98.068028797,21,38.18200403,109.85645279,49,0.1268504067,0.1457865432,0.9617338272,1.206844022,0.0575342466,0.1342465753,
2018-08-29,L1730,29,VIXFS,56.728586808,53.109189923,2018-09-19,2018-10-17,55.737175694,51.469475148,21,57.61087865,54.550287679,49,0.3106632754,0.3319013339,0.2649106872,0.2975733886,0.0575342466,0.1342465753,
2018-08-29,L1730,29,VIXHY,31.053424509,106.65231723,2018-09-19,2018-10-17,30.703815116,102.7370301,21,31.366380211,110.07478434,49,0.0942724263,0.0983849808,1.0554897355,1.2116458148,0.0575342466,0.1342465753,
2018-08-29,L1730,29,VIXIE,47.722358974,35.78690087,2018-09-19,2018-10-17,47.165819025,34.323083296,21,48.220360569,37.061521608,49,0.2224614484,0.2325203173,0.1178074047,0.1373556384,0.0575342466,0.1342465753,
2018-08-29,L1730,29,VIXIG,40.799780795,24.282878707,2018-09-19,2018-10-17,40.4672296,23.427884752,21,41.098341849,25.03129283,49,0.1637596671,0.1689073703,0.0548865784,0.0626565621,0.0575342466,0.1342465753,
2018-08-29,L1730,29,VIXXO,36.729053204,117.4610566,2018-09-19,2018-10-17,35.344726817,110.15027515,21,37.938038086,123.70383476,49,0.1249249714,0.1439294734,1.2133083117,1.5302638735,0.0575342466,0.1342465753,
