TRADE_DATE,CONTR_QTY,TRADE_TIME,TRADE_TIME_THOU,TRADE_PRICE_IND,TRADE_PRICE,TICK_PRFX_TEXT,CLASS_SYM,EXPR_DATE,EXER_PRICE,PUT_CALL_CODE,TRADE_TYPE,PROD_TYPE_CODE,ORIG_TRADE_PRICE,ORIG_TRADE_PRICE_IND,RAW_ORIG_TRADE_PRICE,RAW_TRADE_PRICE,NON_CNTG_BEST_BID_PRICE,NON_CNTG_BEST_BID_PRICE_IND,RAW_NON_CNTG_BEST_BID_PRICE,NON_CNTG_BEST_BID_SIZE,NON_CNTG_BEST_ASK_PRICE,NON_CNTG_BEST_ASK_PRICE_IND,RAW_NON_CNTG_BEST_ASK_PRICE,NON_CNTG_BEST_ASK_SIZE
02JAN2019:00:00:00,1,02JAN2019:08:30:03,969,V,24.5,SPRD,SPX,15MAR2019:00:00:00,2650,C,R,7,24.5,V,24.5,24.5,24,V,24,212,24.9,V,24.9,264
02JAN2019:00:00:00,2,02JAN2019:08:30:03,532,V,206,FTAO,SPX,15MAR2019:00:00:00,2650,P,R,7,206,V,206,206,204.2,V,204.2,100,206,V,206,2
02JAN2019:00:00:00,25,02JAN2019:08:30:03,538,V,15.8,OPNT,SPX,15MAR2019:00:00:00,2695,C,R,7,15.8,V,15.8,15.8,16,V,16,25,15.8,V,15.8,26
02JAN2019:00:00:00,2,02JAN2019:08:30:03,985,V,13.45,SPRD,SPX,20DEC2019:00:00:00,3100,C,R,7,13.45,V,13.45,13.45,12.8,V,12.8,118,14.2,V,14.2,118
02JAN2019:00:00:00,1,02JAN2019:08:30:03,732,V,-0.3,SPRD,SPX,,,,R,11,-0.3,V,-0.3,-0.3,,,,0,,,,0
02JAN2019:00:00:00,40,02JAN2019:08:30:03,954,V,1.3,SPRD,SPX,,,,R,11,1.3,V,1.3,1.3,,,,0,,,,0
02JAN2019:00:00:00,1,02JAN2019:08:30:03,965,V,13.5,SPRD,SPX,15FEB2019:00:00:00,2650,C,R,7,13.5,V,13.5,13.5,13.2,V,13.2,200,13.9,V,13.9,376
02JAN2019:00:00:00,50,02JAN2019:08:30:03,211,V,9.3,OPNT,SPX,15FEB2019:00:00:00,2680,C,R,7,9.3,V,9.3,9.3,9.4,V,9.4,15,9.3,V,9.3,251
02JAN2019:00:00:00,50,02JAN2019:08:30:03,155,V,8.7,OPNT,SPX,15FEB2019:00:00:00,2685,C,R,7,8.7,V,8.7,8.7,8.8,V,8.8,15,8.7,V,8.7,251
02JAN2019:00:00:00,25,02JAN2019:08:30:03,833,V,530.5,SPRD,SPX,15FEB2019:00:00:00,3000,P,R,7,530.5,V,530.5,530.5,527.4,V,527.4,100,533.6,V,533.6,100
02JAN2019:00:00:00,10,02JAN2019:08:30:03,592,V,41.95,SPRD,SPX,15MAR2019:00:00:00,2275,P,R,7,41.95,V,41.95,41.95,41.4,V,41.4,159,42.5,V,42.5,45
02JAN2019:00:00:00,1,02JAN2019:08:30:03,906,V,12.5,FTAO,SPX,18JAN2019:00:00:00,2575,C,R,7,12.5,V,12.5,12.5,12.5,V,12.5,1,12.8,V,12.8,250
02JAN2019:00:00:00,1,02JAN2019:08:30:03,620,V,0.15,OPNT,SPX,18JAN2019:00:00:00,2860,C,R,7,0.15,V,0.15,0.15,0.15,V,0.15,1,0.15,V,0.15,1
02JAN2019:00:00:00,4,02JAN2019:08:30:03,934,V,51.7,SPRD,SPX,21JUN2019:00:00:00,2150,P,R,7,51.7,V,51.7,51.7,51.3,V,51.3,207,52.2,V,52.2,99
02JAN2019:00:00:00,2,02JAN2019:08:30:03,985,V,-2.25,SPRD,SPX,,,,R,11,-2.25,V,-2.25,-2.25,,,,0,,,,0
02JAN2019:00:00:00,25,02JAN2019:08:30:03,329,V,7.1,OPNT,SPX,15FEB2019:00:00:00,2700,C,R,7,7.1,V,7.1,7.1,7.2,V,7.2,3,7.1,V,7.1,201
02JAN2019:00:00:00,54,02JAN2019:08:30:03,636,V,4.4,OPNT,SPX,15FEB2019:00:00:00,2735,C,R,7,4.4,V,4.4,4.4,4.5,V,4.5,16,4.4,V,4.4,261
02JAN2019:00:00:00,55,02JAN2019:08:30:03,836,V,530.55,SPRD,SPX,15FEB2019:00:00:00,3000,P,R,7,530.55,V,530.55,530.55,527.4,V,527.4,100,533.6,V,533.6,100
02JAN2019:00:00:00,25,02JAN2019:08:30:03,300,V,10.5,OPNT,SPX,15MAR2019:00:00:00,2735,C,R,7,10.5,V,10.5,10.5,10.9,V,10.9,3,10.5,V,10.5,300
02JAN2019:00:00:00,40,02JAN2019:08:30:03,954,V,47.05,SPRD,SPX,15FEB2019:00:00:00,2365,P,R,7,47.05,V,47.05,47.05,46.4,V,46.4,223,47.7,V,47.7,142
02JAN2019:00:00:00,1,02JAN2019:08:30:03,662,V,17.7,SPRD,SPX,,,,R,11,17.7,V,17.7,17.7,,,,0,,,,0
02JAN2019:00:00:00,5,02JAN2019:08:30:03,783,V,0.6,SPRD,SPX,,,,R,11,0.6,V,0.6,0.6,,,,0,,,,0
02JAN2019:00:00:00,1,02JAN2019:08:30:03,463,V,1,SPRD,SPX,,,,R,11,1,V,1,1,,,,0,,,,0
02JAN2019:00:00:00,25,02JAN2019:08:30:03,726,V,2.7,SPRD,SPX,,,,R,11,2.7,V,2.7,2.7,,,,0,,,,0
02JAN2019:00:00:00,4,02JAN2019:08:30:03,934,V,-0.65,SPRD,SPX,,,,R,11,-0.65,V,-0.65,-0.65,,,,0,,,,0
02JAN2019:00:00:00,49,02JAN2019:08:30:03,597,V,5.4,OPNT,SPX,15FEB2019:00:00:00,2720,C,R,7,5.4,V,5.4,5.4,5.5,V,5.5,14,5.4,V,5.4,245
02JAN2019:00:00:00,2,02JAN2019:08:30:03,719,V,33.8,OPNT,SPX,15MAR2019:00:00:00,2230,P,R,7,33.8,V,33.8,33.8,33.3,V,33.3,237,33.8,V,33.8,25
02JAN2019:00:00:00,1,02JAN2019:08:30:03,662,V,92.2,SPRD,SPX,15MAR2019:00:00:00,2450,P,R,7,92.2,V,92.2,92.2,91.4,V,91.4,197,93.2,V,93.2,242
02JAN2019:00:00:00,1,02JAN2019:08:30:03,969,V,14.75,SPRD,SPX,15MAR2019:00:00:00,2700,C,R,7,14.75,V,14.75,14.75,14.4,V,14.4,250,15.1,V,15.1,283
02JAN2019:00:00:00,25,02JAN2019:08:30:03,159,V,4.1,OPNT,SPX,15MAR2019:00:00:00,2825,C,R,7,4.1,V,4.1,4.1,4.1,V,4.1,25,4.1,V,4.1,120
02JAN2019:00:00:00,1,02JAN2019:08:30:03,923,V,1.05,FTAO,SPX,15MAR2019:00:00:00,2950,C,R,7,1.05,V,1.05,1.05,1.05,V,1.05,283,1.25,V,1.25,297
02JAN2019:00:00:00,1,02JAN2019:08:30:03,793,V,31.75,SPRD,SPX,18JAN2019:00:00:00,2400,P,R,7,31.75,V,31.75,31.75,31.1,V,31.1,301,32.5,V,32.5,457
02JAN2019:00:00:00,1,02JAN2019:08:30:03,700,V,31.7,SPRD,SPX,18JAN2019:00:00:00,2400,P,R,7,31.7,V,31.7,31.7,31.1,V,31.1,301,32.5,V,32.5,457
02JAN2019:00:00:00,1,02JAN2019:08:30:03,969,V,38.55,SPRD,SPX,15MAR2019:00:00:00,2600,C,R,7,38.55,V,38.55,38.55,38,V,38,187,39.2,V,39.2,233
02JAN2019:00:00:00,25,02JAN2019:08:30:03,759,V,18.3,OPNT,SPX,15MAR2019:00:00:00,2680,C,R,7,18.3,V,18.3,18.3,18.6,V,18.6,25,18.3,V,18.3,25
02JAN2019:00:00:00,25,02JAN2019:08:30:03,833,V,16.7,OPNT,SPX,15MAR2019:00:00:00,2690,C,R,7,16.7,V,16.7,16.7,16.7,V,16.7,25,16.6,V,16.6,1
02JAN2019:00:00:00,25,02JAN2019:08:30:03,411,V,12.9,OPNT,SPX,15MAR2019:00:00:00,2715,C,R,7,12.9,V,12.9,12.9,13.3,V,13.3,3,12.9,V,12.9,101
02JAN2019:00:00:00,25,02JAN2019:08:30:03,715,V,12.1,OPNT,SPX,15MAR2019:00:00:00,2720,C,R,7,12.1,V,12.1,12.1,12.7,V,12.7,3,12.1,V,12.1,25
02JAN2019:00:00:00,4,02JAN2019:08:30:03,934,V,9.05,SPRD,SPX,21JUN2019:00:00:00,1675,P,R,7,9.05,V,9.05,9.05,8.8,V,8.8,340,9.3,V,9.3,482
02JAN2019:00:00:00,2,02JAN2019:08:30:03,985,V,1.3,SPRD,SPX,21JUN2019:00:00:00,3200,C,R,7,1.3,V,1.3,1.3,1.15,V,1.15,350,1.6,V,1.6,350
02JAN2019:00:00:00,4,02JAN2019:08:30:03,985,V,8.5,SPRD,SPX,20DEC2019:00:00:00,3200,C,R,7,8.5,V,8.5,8.5,7.7,V,7.7,121,9.2,V,9.2,121
02JAN2019:00:00:00,1,02JAN2019:08:30:03,427,V,0.3,SPRD,SPX,,,,R,11,0.3,V,0.3,0.3,,,,0,,,,0
02JAN2019:00:00:00,50,02JAN2019:08:30:03,967,V,5.95,SPRD,SPX,15FEB2019:00:00:00,2005,P,R,7,5.95,V,5.95,5.95,5.8,V,5.8,222,6.1,V,6.1,627
02JAN2019:00:00:00,1,02JAN2019:08:30:03,796,V,8.75,SPRD,SPX,15FEB2019:00:00:00,2075,P,R,7,8.75,V,8.75,8.75,8.6,V,8.6,286,9,V,9,811
02JAN2019:00:00:00,40,02JAN2019:08:30:03,954,V,48.35,SPRD,SPX,15FEB2019:00:00:00,2370,P,R,7,48.35,V,48.35,48.35,47.7,V,47.7,228,49,V,49,142
02JAN2019:00:00:00,25,02JAN2019:08:30:03,611,V,19.8,OPNT,SPX,15FEB2019:00:00:00,2620,C,R,7,19.8,V,19.8,19.8,19.8,V,19.8,25,19.8,V,19.8,25
02JAN2019:00:00:00,6,02JAN2019:08:30:03,799,V,11.4,OPNT,SPX,15FEB2019:00:00:00,2665,C,R,7,11.4,V,11.4,11.4,11.5,V,11.5,3,11.2,V,11.2,3
02JAN2019:00:00:00,1,02JAN2019:08:30:03,764,V,6.6,OPNT,SPX,15FEB2019:00:00:00,2705,C,R,7,6.6,V,6.6,6.6,6.6,V,6.6,25,6.6,V,6.6,1
02JAN2019:00:00:00,101,02JAN2019:08:30:03,307,V,4.1,OPNT,SPX,15FEB2019:00:00:00,2740,C,R,7,4.1,V,4.1,4.1,4.2,V,4.2,30,4.1,V,4.1,329
02JAN2019:00:00:00,1,02JAN2019:08:30:03,965,V,3.4,SPRD,SPX,15FEB2019:00:00:00,2750,C,R,7,3.4,V,3.4,3.4,3.3,V,3.3,379,3.5,V,3.5,91
02JAN2019:00:00:00,2,02JAN2019:08:30:03,965,V,1.75,SPRD,SPX,15FEB2019:00:00:00,2800,C,R,7,1.75,V,1.75,1.75,1.65,V,1.65,140,1.9,V,1.9,806
02JAN2019:00:00:00,1,02JAN2019:08:30:03,982,V,70.35,SPRD,SPX,18JAN2019:00:00:00,2500,P,R,7,70.35,V,70.35,70.35,68.8,V,68.8,180,71.2,V,71.2,180
02JAN2019:00:00:00,1,02JAN2019:08:30:03,661,V,33.7,SPRD,SPX,18JAN2019:00:00:00,2510,C,R,7,33.7,V,33.7,33.7,33,V,33,230,34.4,V,34.4,301
02JAN2019:00:00:00,1,02JAN2019:08:30:03,463,V,14.8,SPRD,SPX,18JAN2019:00:00:00,2565,C,R,7,14.8,V,14.8,14.8,14.3,V,14.3,309,15.2,V,15.2,100
02JAN2019:00:00:00,1,02JAN2019:08:30:03,793,V,139.55,SPRD,SPX,18JAN2019:00:00:00,2600,P,R,7,139.55,V,139.55,139.55,137.8,V,137.8,180,141.4,V,141.4,180
02JAN2019:00:00:00,1,02JAN2019:08:30:03,969,V,5.15,SPRD,SPX,15MAR2019:00:00:00,2800,C,R,7,5.15,V,5.15,5.15,5,V,5,150,5.3,V,5.3,262
02JAN2019:00:00:00,25,02JAN2019:08:30:03,726,V,177.9,SPRD,SPX,18APR2019:00:00:00,2590,P,R,7,177.9,V,177.9,177.9,176.7,V,176.7,160,179.4,V,179.4,160
02JAN2019:00:00:00,8,02JAN2019:08:30:03,934,V,30.7,SPRD,SPX,21JUN2019:00:00:00,2000,P,R,7,30.7,V,30.7,30.7,30.2,V,30.2,320,31.2,V,31.2,171
02JAN2019:00:00:00,2,02JAN2019:08:30:03,804,V,1.95,SPRD,SPX,20DEC2019:00:00:00,1000,P,R,7,1.95,V,1.95,1.95,1.3,V,1.3,124,2.6,V,2.6,436
02JAN2019:00:00:00,1,02JAN2019:08:30:03,463,V,4.45,SPRD,SPX,,,,R,11,4.45,V,4.45,4.45,,,,0,,,,0
02JAN2019:00:00:00,2,02JAN2019:08:30:03,630,V,1.3,SPRD,SPX,,,,R,11,1.3,V,1.3,1.3,,,,0,,,,0
02JAN2019:00:00:00,1,02JAN2019:08:30:03,661,V,2.25,SPRD,SPX,,,,R,11,2.25,V,2.25,2.25,,,,0,,,,0
02JAN2019:00:00:00,1,02JAN2019:08:30:03,969,V,4.45,SPRD,SPX,,,,R,11,4.45,V,4.45,4.45,,,,0,,,,0
02JAN2019:00:00:00,1,02JAN2019:08:30:03,962,V,1.5,SPRD,SPX,,,,R,11,1.5,V,1.5,1.5,,,,0,,,,0
02JAN2019:00:00:00,1,02JAN2019:08:30:03,962,V,36.45,SPRD,SPX,15FEB2019:00:00:00,2320,P,R,7,36.45,V,36.45,36.45,35.9,V,35.9,233,37.1,V,37.1,187
02JAN2019:00:00:00,3,02JAN2019:08:30:03,251,V,14.8,OPNT,SPX,15FEB2019:00:00:00,2645,C,R,7,14.8,V,14.8,14.8,14.8,V,14.8,3,14.5,V,14.5,3
02JAN2019:00:00:00,25,02JAN2019:08:30:03,818,V,6.2,OPNT,SPX,15FEB2019:00:00:00,2710,C,R,7,6.2,V,6.2,6.2,6.2,V,6.2,25,6.2,V,6.2,125
02JAN2019:00:00:00,1,02JAN2019:08:30:03,700,V,33.1,SPRD,SPX,15MAR2019:00:00:00,2225,P,R,7,33.1,V,33.1,33.1,32.5,V,32.5,237,33.5,V,33.5,187
02JAN2019:00:00:00,10,02JAN2019:08:30:03,592,V,47.2,SPRD,SPX,15MAR2019:00:00:00,2300,P,R,7,47.2,V,47.2,47.2,46.6,V,46.6,157,47.8,V,47.8,45
02JAN2019:00:00:00,5,02JAN2019:08:30:03,783,V,0.85,SPRD,SPX,18JAN2019:00:00:00,1900,P,R,7,0.85,V,0.85,0.85,0.75,V,0.75,330,0.9,V,0.9,749
02JAN2019:00:00:00,1,02JAN2019:08:30:03,427,V,4.55,SPRD,SPX,18JAN2019:00:00:00,2170,P,R,7,4.55,V,4.55,4.55,4.4,V,4.4,230,4.7,V,4.7,383
02JAN2019:00:00:00,2,02JAN2019:08:30:03,793,V,70.05,SPRD,SPX,18JAN2019:00:00:00,2500,P,R,7,70.05,V,70.05,70.05,68.8,V,68.8,180,71.2,V,71.2,180
02JAN2019:00:00:00,1,02JAN2019:08:30:03,501,V,69,OPNT,SPX,18JAN2019:00:00:00,2500,P,R,7,69,V,69,69,69,V,69,145,71.2,V,71.2,45
