ticker,ERIXITSE Index,ERIXITSE Index,ERIXCDIG Index,ERIXCDIG Index,IBOXHYSE CBBT Curncy,ERINCDHY Index,ERINCDHY Index,ITRXEBE CBBT Curncy,VIX Index,VIX Index,ERIXITEU Index,ERIXITEU Index,ITRXEXE CBBT Curncy,SX5E Index,SX5E Index,ERIXITXO Index,ERIXITXO Index,IEF Equity,IEF Equity,ITRXESE CBBT Curncy,AGG Equity,AGG Equity,HYG Equity,HYG Equity,SPX Index,SPX Index,LQD Equity,LQD Equity,TYVIX Index,TYVIX Index,TY1 Comdty,SPJGBV Index,SPJGBV Index,JB1 Comdty,SRVIX Index,SRVIX Index,IBOXUMAE CBBT Curncy
1995-04-11,,,,,,,,,12.73,12.73,,,,1316.22,1316.22,,,,,,,,,,505.53,680.5586,,,,,104.84375,,,114.75,,,
1995-04-12,,,,,,,,,12.04,12.04,,,,1319.31,1319.31,,,,,,,,,,507.17,682.8207,,,,,104.96875,,,114.4,,,
1995-04-13,,,,,,,,,11.48,11.48,,,,1319.39,1319.39,,,,,,,,,,509.23,685.5993,,,,,105.40625,,,115.65,,,
1995-04-14,,,,,,,,,,,,,,1321.0,1321.0,,,,,,,,,,,,,,,,,,,116.9,,,
1995-04-17,,,,,,,,,12.33,12.33,,,,1322.13,1322.13,,,,,,,,,,506.13,681.4984,,,,,105.3125,,,116.94,,,
1995-04-18,,,,,,,,,12.96,12.96,,,,1313.99,1313.99,,,,,,,,,,505.37,680.4979,,,,,105.5,,,117.39,,,
1995-04-19,,,,,,,,,13.09,13.09,,,,1314.07,1314.07,,,,,,,,,,504.92,679.9042,,,,,105.4375,,,116.5,,,
1995-04-20,,,,,,,,,12.1,12.1,,,,1315.96,1315.96,,,,,,,,,,505.29,680.4024,,,,,105.6875,,,116.86,,,
1995-04-21,,,,,,,,,11.86,11.86,,,,1333.56,1333.56,,,,,,,,,,508.49,684.7114,,,,,105.75,,,116.29,,,
1995-04-24,,,,,,,,,11.92,11.92,,,,1331.78,1331.78,,,,,,,,,,512.89,690.7536,,,,,105.8125,,,116.78,,,
1995-04-25,,,,,,,,,12.41,12.41,,,,1343.63,1343.63,,,,,,,,,,512.1,689.773,,,,,105.75,,,116.6,,,
1995-04-26,,,,,,,,,12.28,12.28,,,,1352.99,1352.99,,,,,,,,,,512.66,690.5854,,,,,105.6875,,,117.0,,,
1995-04-27,,,,,,,,,11.93,11.93,,,,1352.3,1352.3,,,,,,,,,,513.55,691.7845,,,,,105.5,,,116.63,,,
1995-04-28,,,,,,,,,11.75,11.75,,,,1346.68,1346.68,,,,,,,,,,514.71,693.3531,,,,,105.3125,,,116.4,,,
1995-05-01,,,,,,,,,12.14,12.14,,,,1353.12,1353.12,,,,,,,,,,514.26,692.8995,,,,,105.21875,,,115.86,,,
1995-05-02,,,,,,,,,11.88,11.88,,,,1366.09,1366.09,,,,,,,,,,514.86,693.8156,,,,,105.5,,,116.25,,,
1995-05-03,,,,,,,,,11.69,11.69,,,,1372.6,1372.6,,,,,,,,,,520.48,701.4197,,,,,106.15625,,,,,,
1995-05-04,,,,,,,,,12.64,12.64,,,,1374.59,1374.59,,,,,,,,,,520.54,701.718,,,,,106.8125,,,,,,
1995-05-05,,,,,,,,,12.06,12.06,,,,1369.95,1369.95,,,,,,,,,,520.12,701.2065,,,,,107.9375,,,,,,
1995-05-08,,,,,,,,,12.22,12.22,,,,1369.38,1369.38,,,,,,,,,,523.96,706.6185,,,,,107.90625,,,116.79,,,
1995-05-09,,,,,,,,,12.75,12.75,,,,1382.59,1382.59,,,,,,,,,,523.56,706.362,,,,,108.46875,,,117.26,,,
1995-05-10,,,,,,,,,13.08,13.08,,,,1390.37,1390.37,,,,,,,,,,524.36,707.5077,,,,,108.125,,,117.35,,,
1995-05-11,,,,,,,,,12.98,12.98,,,,1394.78,1394.78,,,,,,,,,,524.37,707.624,,,,,107.90625,,,117.8,,,
1995-05-12,,,,,,,,,11.84,11.84,,,,1397.85,1397.85,,,,,,,,,,525.55,709.2348,,,,,107.875,,,116.95,,,
1995-05-15,,,,,,,,,12.38,12.38,,,,1390.14,1390.14,,,,,,,,,,527.74,712.3838,,,,,108.21875,,,117.0,,,
1995-05-16,,,,,,,,,12.2,12.2,,,,1400.6,1400.6,,,,,,,,,,528.19,713.0944,,,,,108.625,,,117.1,,,
1995-05-17,,,,,,,,,12.36,12.36,,,,1395.11,1395.11,,,,,,,,,,527.07,711.5875,,,,,108.6875,,,117.33,,,
1995-05-18,,,,,,,,,13.13,13.13,,,,1384.17,1384.17,,,,,,,,,,519.58,701.5248,,,,,108.21875,,,117.63,,,
1995-05-19,,,,,,,,,12.81,12.81,,,,1368.56,1368.56,,,,,,,,,,519.19,701.3223,,,,,108.25,,,118.06,,,
1995-05-22,,,,,,,,,11.68,11.68,,,,1379.26,1379.26,,,,,,,,,,523.65,707.4163,,,,,108.09375,,,118.5,,,
1995-05-23,,,,,,,,,11.55,11.55,,,,1377.25,1377.25,,,,,,,,,,528.59,714.1188,,,,,108.5,,,118.72,,,
1995-05-24,,,,,,,,,11.26,11.26,,,,1389.13,1389.13,,,,,,,,,,528.61,714.2165,,,,,109.34375,,,118.73,,,
1995-05-25,,,,,,,,,11.63,11.63,,,,1386.57,1386.57,,,,,,,,,,528.59,714.3772,,,,,109.5625,,,119.47,,,
1995-05-26,,,,,,,,,12.2,12.2,,,,1366.49,1366.49,,,,,,,,,,523.65,707.8247,,,,,109.5625,,,119.89,,,
1995-05-29,,,,,,,,,,,,,,1360.0,1360.0,,,,,,,,,,,,,,,,,,,119.65,,,
1995-05-30,,,,,,,,,12.52,12.52,,,,1371.27,1371.27,,,,,,,,,,523.58,707.7632,,,,,110.125,,,120.5,,,
